time,trialNumber,phaseNumber
7.230419,3,3
7.24144,3,3
7.252474,3,3
7.26355,3,3
7.275021,3,3
7.286024,3,3
7.297037,3,3
7.308203,3,3
7.319338,3,3
7.330139,3,3
7.341471,3,3
7.352463,3,3
7.363565,3,3
7.374599,3,3
7.385994,3,3
7.397053,3,3
7.408245,3,3
7.419262,3,3
7.430553,3,3
7.44179,3,3
7.452717,3,3
7.463814,3,3
7.474558,3,3
7.485956,3,3
7.497114,3,3
7.508072,3,3
7.519238,3,3
7.530617,3,3
7.541519,3,3
7.552637,3,3
7.563608,3,3
7.574751,3,3
7.586391,3,3
7.596979,3,3
7.607914,3,3
7.619564,3,3
7.630249,3,3
7.641415,3,3
7.652485,3,3
7.663839,3,3
7.675007,3,3
7.68578,3,3
7.697056,3,3
7.707758,3,3
7.718952,3,3
7.730169,3,3
7.741295,3,3
7.752298,3,3
7.763405,3,3
7.774744,3,3
7.78578,3,3
7.79678,3,3
7.807896,3,3
7.819014,3,3
7.830446,3,3
7.841164,3,3
7.85248,3,3
7.863457,3,3
7.874578,3,3
7.885651,3,3
7.896709,3,3
7.907799,3,3
7.918844,3,3
7.930025,3,3
7.941236,3,3
7.952429,3,3
7.963297,3,3
7.974495,3,3
7.98596,3,3
7.996702,3,3
8.007912,3,3
8.019012,3,3
8.030115,3,3
8.041161,3,3
8.052267,3,3
8.063337,3,3
8.078146,3,3
8.086153,3,3
8.096664,3,3
8.107803,3,3
8.118917,3,3
8.129982,3,3
8.141075,3,3
8.152386,3,3
8.163218,3,3
8.174461,3,3
8.185469,3,3
8.196716,3,3
8.207573,3,3
8.218863,3,3
8.229858,3,3
8.240961,3,3
8.252165,3,3
8.263102,3,3
8.274309,3,3
8.28549,3,3
8.29668,3,3
8.30755,3,3
8.318893,3,3
8.3298,3,3
8.341005,3,3
8.3522,3,3
8.363121,3,3
8.374228,3,3
8.385504,3,3
8.396627,3,3
8.407669,3,3
8.418728,3,3
8.429827,3,3
8.440786,3,3
8.45237,3,3
8.4631,3,3
8.474585,3,3
8.485502,3,3
8.496555,3,3
8.507608,3,3
8.518764,3,3
8.529892,3,3
8.541052,3,3
8.552172,3,3
8.563059,3,3
8.57424,3,3
8.585484,3,3
8.59639,3,3
8.607615,3,3
8.618719,3,3
8.629866,3,3
8.641024,3,3
8.652065,3,3
8.663013,3,3
8.674208,3,3
8.685209,3,3
8.696232,3,3
8.707403,3,3
8.718691,3,3
8.72986,3,3
8.740849,3,3
8.752092,3,3
8.763165,3,3
8.774767,3,3
8.785303,3,3
8.796484,3,3
8.807663,3,3
8.818722,3,3
8.829916,3,3
8.841049,3,3
8.851992,3,3
8.863264,3,3
8.8743,3,3
8.885572,3,3
8.896444,3,3
8.90744,3,3
8.918446,3,3
8.929585,3,3
8.940744,3,3
8.952066,3,3
8.962915,3,3
8.974033,3,3
8.9853,3,3
